error_id,language,compiler,error_message,category
1,C++,Clang,missing whitespace after 'bar',Lexical
2,C++,GCC,TypeError: unsupported operand types for '+',Semantic
3,C,Clang,unexpected '+',Syntactic
4,C++,GCC,syntax error near 'y',Syntactic
5,Python,Python,invalid character 'x' in identifier,Lexical
6,C++,Clang,invalid suffix 'max' on integer constant,Lexical
7,Python,Python,invalid token 'max',Lexical
8,Python,Python,expected ';' before 'data',Syntactic
9,C,Clang,unterminated string literal 'status',Lexical
10,C++,GCC,stray 'bar' in program,Lexical
11,C++,GCC,TypeError: unsupported operand types for '!',Semantic
12,C,Clang,expected ';' before 'key',Syntactic
13,C++,GCC,incompatible types when assigning 'data' to 'data',Semantic
14,C,Clang,invalid suffix 'total' on integer constant,Lexical
15,C++,GCC,stray 'index' in program,Lexical
16,C,GCC,variable 'node' is uninitialized when used here,Semantic
17,C++,Clang,expected ')' matching '(' before 'id',Syntactic
18,Python,Python,expected '}' at end of input near 'sum',Syntactic
19,C,Clang,invalid character 'test' in identifier,Lexical
20,C++,GCC,expected '}' at end of input near 'j',Syntactic
21,C,GCC,missing '&' in expression,Syntactic
22,C++,Clang,invalid suffix 'foo' on integer constant,Lexical
23,C++,GCC,IndexError: 'obj' index out of range,Semantic
24,Python,Python,unexpected 'width',Syntactic
25,C++,GCC,use of undeclared identifier 'user',Semantic
26,Python,Python,invalid suffix 'mean' on integer constant,Lexical
27,C,GCC,missing 'flag' in expression,Syntactic
28,Python,Python,invalid suffix 'float' on integer constant,Lexical
29,C++,Clang,expected identifier or '(' before 'buffer',Syntactic
30,C++,GCC,expected ')' matching '(' before 'test',Syntactic
31,C,GCC,expected ')' matching '(' before 'float',Syntactic
32,C++,GCC,unexpected 'char',Syntactic
33,Python,Python,expected ';' before '|',Syntactic
34,C,Clang,expected ')' matching '(' before '^',Syntactic
35,C++,Clang,redefinition of 'test',Semantic
36,C,Clang,incompatible types when assigning 'array' to 'array',Semantic
37,C,Clang,variable '/' is uninitialized when used here,Semantic
38,C++,GCC,use of undeclared identifier '<',Semantic
39,C,Clang,expected identifier or '(' before 'value',Syntactic
40,C++,GCC,cannot convert 'i' to pointer,Semantic
41,Python,Python,IndexError: 'width' index out of range,Semantic
42,C++,GCC,variable 'gamma' is uninitialized when used here,Semantic
43,C,GCC,variable 'mean' is uninitialized when used here,Semantic
44,Python,Python,redefinition of '*',Semantic
45,Python,Python,TypeError: unsupported operand types for 'value',Semantic
46,C++,GCC,unexpected 'foo',Syntactic
47,C++,Clang,unexpected '@',Syntactic
48,Python,Python,unexpected 'j',Syntactic
49,C,Clang,incompatible types when assigning 'count' to 'count',Semantic
50,C++,GCC,unexpected character 'id',Lexical
51,C++,GCC,TypeError: unsupported operand types for 'y',Semantic
52,C,GCC,missing 'epsilon' in expression,Syntactic
53,C++,Clang,IndexError: 'result' index out of range,Semantic
54,Python,Python,expected '}' at end of input near 'epsilon',Syntactic
55,C++,GCC,expected ')' matching '(' before '/',Syntactic
56,C++,Clang,invalid suffix 'alpha' on integer constant,Lexical
57,Python,Python,redefinition of 'item',Semantic
58,C,Clang,expected identifier or '(' before 'array',Syntactic
59,C++,GCC,expected '}' at end of input near 'result',Syntactic
60,C,GCC,expected identifier or '(' before 'count',Syntactic
61,C,Clang,unexpected 'mean',Syntactic
62,C++,Clang,missing whitespace after 'mode',Lexical
63,Python,Python,variable '*' is uninitialized when used here,Semantic
64,C,GCC,unexpected 'i',Syntactic
65,C,GCC,unexpected '&',Syntactic
66,C,GCC,unexpected character 'max',Lexical
67,C,Clang,missing whitespace after '<',Lexical
68,C++,GCC,unexpected 'bar',Syntactic
69,C++,GCC,stray 'temp' in program,Lexical
70,C,GCC,IndexError: 'admin' index out of range,Semantic
71,C,Clang,use of undeclared identifier 'val',Semantic
72,Python,Python,invalid character 'state' in identifier,Lexical
73,C++,GCC,expected identifier or '(' before 'int',Syntactic
74,C++,GCC,invalid character 'delta' in identifier,Lexical
75,C,Clang,syntax error near 'total',Syntactic
76,C++,GCC,use of undeclared identifier '^',Semantic
77,C,Clang,IndexError: '%' index out of range,Semantic
78,C,Clang,invalid token 'int',Lexical
79,C++,Clang,use of undeclared identifier 'mean',Semantic
80,C,Clang,missing whitespace after 'list',Lexical
81,C++,GCC,syntax error near '^',Syntactic
