error_id,language,compiler,error_message,category,clean_error
1,C++,Clang,invalid token 'obj',Lexical,invalid token obj
2,Python,Python,invalid character 'num' in identifier,Lexical,invalid character num in identifier
3,Python,Python,unexpected character '?',Lexical,unexpected character
4,Python,Python,invalid suffix '?' on integer constant,Lexical,invalid suffix on integer constant
5,C++,GCC,invalid token 'num',Lexical,invalid token num
6,C++,GCC,invalid suffix '^' on integer constant,Lexical,invalid suffix on integer constant
7,Python,Python,invalid character '@' in identifier,Lexical,invalid character in identifier
8,C,Clang,invalid token '@',Lexical,invalid token
9,C++,Clang,invalid token '!',Lexical,invalid token
10,C,GCC,invalid token 'data',Lexical,invalid token data
11,Python,Python,invalid token 'data',Lexical,invalid token data
12,Python,Python,stray 'value' in program,Lexical,stray value in program
13,C,Clang,unexpected character 'temp',Lexical,unexpected character temp
14,C,GCC,invalid token 'value',Lexical,invalid token value
15,C++,Clang,invalid token '&',Lexical,invalid token
16,C,GCC,stray 'ptr' in program,Lexical,stray ptr in program
17,Python,Python,invalid token '%',Lexical,invalid token
18,C,GCC,invalid character '^' in identifier,Lexical,invalid character in identifier
19,C++,Clang,invalid token 'ptr',Lexical,invalid token ptr
20,Python,Python,stray '?' in program,Lexical,stray in program
21,Python,Python,invalid token '^',Lexical,invalid token
22,C++,GCC,unexpected character 'index',Lexical,unexpected character index
23,C,GCC,invalid character 'var' in identifier,Lexical,invalid character var in identifier
24,Python,Python,unexpected character '^',Lexical,unexpected character
25,C++,GCC,invalid character '@' in identifier,Lexical,invalid character in identifier
26,C++,GCC,invalid token 'num',Lexical,invalid token num
27,C++,Clang,invalid character 'var' in identifier,Lexical,invalid character var in identifier
28,C,Clang,stray 'value' in program,Lexical,stray value in program
29,Python,Python,invalid character 'num' in identifier,Lexical,invalid character num in identifier
30,C,Clang,invalid token 'temp',Lexical,invalid token temp
31,Python,Python,invalid token 'value',Lexical,invalid token value
32,Python,Python,invalid suffix '#' on integer constant,Lexical,invalid suffix on integer constant
33,Python,Python,stray 'temp' in program,Lexical,stray temp in program
34,C++,GCC,invalid character '%' in identifier,Lexical,invalid character in identifier
35,Python,Python,invalid suffix '!' on integer constant,Lexical,invalid suffix on integer constant
36,C,Clang,unexpected character '#',Lexical,unexpected character
37,Python,Python,invalid token '^',Lexical,invalid token
38,C,GCC,invalid token '#',Lexical,invalid token
39,C,GCC,invalid character 'ptr' in identifier,Lexical,invalid character ptr in identifier
40,C,Clang,unexpected character '#',Lexical,unexpected character
41,C++,GCC,invalid suffix 'value' on integer constant,Lexical,invalid suffix value on integer constant
42,C,GCC,invalid token 'obj',Lexical,invalid token obj
43,C++,Clang,invalid suffix '^' on integer constant,Lexical,invalid suffix on integer constant
44,Python,Python,invalid token '@',Lexical,invalid token
45,Python,Python,invalid suffix 'value' on integer constant,Lexical,invalid suffix value on integer constant
46,Python,Python,invalid suffix 'ptr' on integer constant,Lexical,invalid suffix ptr on integer constant
47,C,GCC,invalid suffix '@' on integer constant,Lexical,invalid suffix on integer constant
48,C,Clang,invalid token 'index',Lexical,invalid token index
49,C++,Clang,invalid character 'var' in identifier,Lexical,invalid character var in identifier
50,Python,Python,unexpected character 'index',Lexical,unexpected character index
51,Python,Python,invalid character '$' in identifier,Lexical,invalid character in identifier
52,C++,Clang,invalid token 'num',Lexical,invalid token num
53,Python,Python,invalid character 'ptr' in identifier,Lexical,invalid character ptr in identifier
54,C,Clang,invalid token 'temp',Lexical,invalid token temp
55,C++,GCC,stray '*' in program,Lexical,stray in program
56,C,Clang,stray '#' in program,Lexical,stray in program
57,C,GCC,invalid token 'num',Lexical,invalid token num
58,C,Clang,invalid token 'ptr',Lexical,invalid token ptr
59,Python,Python,stray 'ptr' in program,Lexical,stray ptr in program
60,C,GCC,invalid token '%',Lexical,invalid token
61,Python,Python,stray '$' in program,Lexical,stray in program
62,C++,GCC,invalid character '&' in identifier,Lexical,invalid character in identifier
63,C,GCC,invalid token 'ptr',Lexical,invalid token ptr
64,C,GCC,invalid suffix 'data' on integer constant,Lexical,invalid suffix data on integer constant
65,C++,GCC,invalid character 'num' in identifier,Lexical,invalid character num in identifier
